employeeid,firstname,lastname,gender,age,businesstravel,department,distancefromhome_km,state,ethnicity,education,educationfield,jobrole,maritalstatus,salary,stockoptionlevel,overtime,hiredate,attrition,yearsatcompany,yearsinmostrecentrole,yearssincelastpromotion,yearswithcurrmanager,performanceid,reviewdate,environmentsatisfaction,jobsatisfaction,relationshipsatisfaction,trainingopportunitieswithinyear,trainingopportunitiestaken,worklifebalance,selfrating,managerrating,satisfactionlevel,ratinglevel,educationlevel
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR1016,2016-03-27,3.0,5.0,3.0,3.0,0.0,2.0,3.0,3.0,Neutral,Meets Expectation,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR1562,2017-03-27,4.0,5.0,5.0,1.0,1.0,5.0,4.0,3.0,Satisfied ,Meets Expectation,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR2211,2018-03-27,4.0,3.0,4.0,3.0,1.0,2.0,4.0,4.0,Satisfied ,Exceeds Expectation ,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR267,2014-03-28,3.0,5.0,5.0,1.0,2.0,2.0,5.0,5.0,Neutral,Above and Beyond,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR2954,2019-03-27,4.0,4.0,3.0,3.0,2.0,5.0,3.0,2.0,Satisfied ,Needs Improvement,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR3818,2020-03-26,4.0,5.0,2.0,3.0,2.0,2.0,5.0,4.0,Satisfied ,Exceeds Expectation ,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR4807,2021-03-26,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,Very Dissatisfied,Meets Expectation,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR582,2015-03-28,5.0,4.0,3.0,1.0,1.0,2.0,5.0,5.0,Very Satisfied,Above and Beyond,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR5879,2022-03-26,1.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,Very Dissatisfied,Meets Expectation,Bachelors 
42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR1107,2016-05-13,4.0,3.0,2.0,1.0,0.0,5.0,3.0,2.0,Satisfied ,Needs Improvement,High School 
42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR137,2013-05-14,5.0,2.0,4.0,2.0,1.0,5.0,4.0,3.0,Very Satisfied,Meets Expectation,High School 
42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR1662,2017-05-13,4.0,3.0,5.0,1.0,2.0,4.0,4.0,3.0,Satisfied ,Meets Expectation,High School 
42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR2321,2018-05-13,4.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,Satisfied ,Meets Expectation,High School 
42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR3078,2019-05-13,4.0,5.0,4.0,3.0,0.0,4.0,4.0,3.0,Satisfied ,Meets Expectation,High School 
42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR332,2014-05-14,4.0,5.0,4.0,2.0,3.0,5.0,5.0,5.0,Satisfied ,Above and Beyond,High School 
42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR3962,2020-05-12,3.0,4.0,5.0,3.0,2.0,5.0,4.0,4.0,Neutral,Exceeds Expectation ,High School 
42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR4958,2021-05-12,3.0,4.0,3.0,1.0,2.0,5.0,3.0,2.0,Neutral,Needs Improvement,High School 
42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR661,2015-05-14,5.0,2.0,5.0,2.0,1.0,3.0,3.0,2.0,Very Satisfied,Needs Improvement,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR1325,2016-11-22,4.0,4.0,2.0,3.0,1.0,5.0,4.0,4.0,Satisfied ,Exceeds Expectation ,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR1949,2017-11-22,5.0,5.0,2.0,1.0,2.0,4.0,5.0,4.0,Very Satisfied,Exceeds Expectation ,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR2661,2018-11-22,3.0,4.0,2.0,2.0,0.0,3.0,5.0,5.0,Neutral,Above and Beyond,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR3486,2019-11-22,4.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,Satisfied ,Meets Expectation,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR420,2014-11-23,5.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,Very Satisfied,Exceeds Expectation ,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR4435,2020-11-21,4.0,5.0,4.0,1.0,3.0,5.0,5.0,4.0,Satisfied ,Exceeds Expectation ,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR5480,2021-11-21,4.0,2.0,3.0,3.0,0.0,3.0,3.0,2.0,Satisfied ,Needs Improvement,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR6598,2022-11-21,4.0,2.0,4.0,3.0,0.0,2.0,5.0,5.0,Satisfied ,Above and Beyond,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR810,2015-11-23,4.0,3.0,3.0,1.0,3.0,4.0,3.0,2.0,Satisfied ,Needs Improvement,High School 
D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR1199,2016-07-17,3.0,3.0,3.0,2.0,1.0,3.0,5.0,4.0,Neutral,Exceeds Expectation ,Bachelors 
D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR1777,2017-07-17,4.0,5.0,5.0,3.0,2.0,4.0,4.0,4.0,Satisfied ,Exceeds Expectation ,Bachelors 
D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR2450,2018-07-17,4.0,5.0,4.0,3.0,2.0,2.0,4.0,3.0,Satisfied ,Meets Expectation,Bachelors 
D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR3232,2019-07-17,5.0,3.0,5.0,3.0,0.0,2.0,4.0,4.0,Very Satisfied,Exceeds Expectation ,Bachelors 
D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR368,2014-07-18,3.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,Neutral,Above and Beyond,Bachelors 
D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR4140,2020-07-16,4.0,3.0,5.0,3.0,0.0,4.0,5.0,5.0,Satisfied ,Above and Beyond,Bachelors 
D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR5152,2021-07-16,4.0,5.0,4.0,2.0,0.0,4.0,5.0,4.0,Satisfied ,Exceeds Expectation ,Bachelors 
D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR6255,2022-07-16,3.0,5.0,3.0,3.0,3.0,2.0,5.0,4.0,Neutral,Exceeds Expectation ,Bachelors 
D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR730,2015-07-18,3.0,5.0,2.0,3.0,2.0,3.0,4.0,4.0,Neutral,Exceeds Expectation ,Bachelors 
3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR1483,2017-02-18,5.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,Very Satisfied,Exceeds Expectation ,High School 
3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR2121,2018-02-18,5.0,5.0,3.0,3.0,1.0,2.0,3.0,2.0,Very Satisfied,Needs Improvement,High School 
3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR215,2014-02-19,5.0,2.0,4.0,1.0,3.0,3.0,3.0,2.0,Very Satisfied,Needs Improvement,High School 
3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR2854,2019-02-18,3.0,5.0,5.0,3.0,2.0,5.0,3.0,3.0,Neutral,Meets Expectation,High School 
3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR3709,2020-02-18,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,Satisfied ,Needs Improvement,High School 
3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR4683,2021-02-17,3.0,3.0,3.0,1.0,2.0,3.0,5.0,4.0,Neutral,Exceeds Expectation ,High School 
3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR516,2015-02-19,5.0,2.0,5.0,2.0,3.0,4.0,5.0,5.0,Very Satisfied,Above and Beyond,High School 
3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR54,2013-02-19,4.0,5.0,3.0,2.0,0.0,5.0,4.0,4.0,Satisfied ,Exceeds Expectation ,High School 
3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR940,2016-02-19,5.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,Very Satisfied,Exceeds Expectation ,High School 
3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR1340,2016-12-05,4.0,2.0,3.0,2.0,0.0,4.0,5.0,5.0,Satisfied ,Above and Beyond,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR1966,2017-12-05,3.0,2.0,3.0,3.0,1.0,5.0,3.0,2.0,Neutral,Needs Improvement,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR2680,2018-12-05,5.0,2.0,3.0,2.0,0.0,5.0,4.0,4.0,Very Satisfied,Exceeds Expectation ,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR3509,2019-12-05,5.0,4.0,2.0,3.0,1.0,3.0,4.0,4.0,Very Satisfied,Exceeds Expectation ,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR425,2014-12-06,4.0,5.0,5.0,1.0,3.0,4.0,4.0,3.0,Satisfied ,Meets Expectation,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR4459,2020-12-04,4.0,5.0,2.0,1.0,1.0,5.0,4.0,3.0,Satisfied ,Meets Expectation,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR5506,2021-12-04,3.0,2.0,5.0,3.0,2.0,2.0,4.0,4.0,Neutral,Exceeds Expectation ,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR6630,2022-12-04,3.0,3.0,2.0,3.0,1.0,3.0,5.0,5.0,Neutral,Above and Beyond,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR821,2015-12-06,4.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,Satisfied ,Meets Expectation,Masters 
5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR1461,2017-02-05,3.0,4.0,2.0,2.0,0.0,3.0,3.0,2.0,Neutral,Needs Improvement,High School 
5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR204,2014-02-06,3.0,5.0,3.0,2.0,1.0,5.0,3.0,2.0,Neutral,Needs Improvement,High School 
5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR2094,2018-02-05,4.0,3.0,5.0,2.0,0.0,5.0,4.0,3.0,Satisfied ,Meets Expectation,High School 
5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR2824,2019-02-05,3.0,5.0,4.0,2.0,2.0,5.0,3.0,2.0,Neutral,Needs Improvement,High School 
5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR3676,2020-02-05,2.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,Dissatisfied,Needs Improvement,High School 
5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR44,2013-02-06,5.0,3.0,5.0,3.0,2.0,3.0,5.0,5.0,Very Satisfied,Above and Beyond,High School 
5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR4648,2021-02-04,5.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,Very Satisfied,Needs Improvement,High School 
